,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
678,Acessorios,Mulheres 18-24,Video 3,18494,635,1322.34,3.43,2.08,432,3.06,45718.77,34.57,2025-04-12,Sábado,Mulheres,18-24
679,Camisetas Filmes,Mulheres 18-24,Video 1,1828,147,260.72,8.04,1.77,14,18.62,629.86,2.42,2025-04-11,Sexta-feira,Mulheres,18-24
680,Acessorios,Homens 18-24,Carrossel 1,10391,749,413.31,7.21,0.55,63,6.56,5925.75,14.34,2025-04-10,Quinta-feira,Homens,18-24
681,Camisetas Series,Mulheres 18-24,Video 2,7684,604,96.84,7.86,0.16,463,0.21,16319.82,168.52,2025-04-09,Quarta-feira,Mulheres,18-24
682,Blusas Inverno,Homens 18-24,Imagem 2,19391,846,394.51,4.36,0.47,803,0.49,84060.74,213.08,2025-04-15,Terça-feira,Homens,18-24
683,Blusas Inverno,Mulheres 24-30,Video 2,2539,147,611.95,5.79,4.16,80,7.65,9726.67,15.89,2025-04-08,Terça-feira,Mulheres,24-30
684,Camisetas Filmes,Homens 18-24,Imagem 1,1424,82,344.48,5.76,4.2,56,6.15,6047.91,17.56,2025-04-07,Segunda-feira,Homens,18-24
685,Acessorios,Homens 18-24,Imagem 3,18911,1562,924.91,8.26,0.59,1484,0.62,180200.61,194.83,2025-04-01,Terça-feira,Homens,18-24
686,Blusas Inverno,Mulheres 18-24,Video 2,15706,413,1476.01,2.63,3.57,38,38.84,1660.51,1.12,2025-03-30,Domingo,Mulheres,18-24
687,Camisetas Filmes,Mulheres 24-30,Carrossel 1,17837,294,596.94,1.65,2.03,219,2.73,11587.56,19.41,2025-04-25,Sexta-feira,Mulheres,24-30
688,Camisetas Series,Mulheres 18-24,Video 2,5262,132,896.78,2.51,6.79,65,13.8,1661.69,1.85,2025-04-25,Sexta-feira,Mulheres,18-24
689,Camisetas Filmes,Mulheres 18-24,Carrossel 2,6072,90,272.87,1.48,3.03,41,6.66,3472.21,12.72,2025-03-30,Domingo,Mulheres,18-24
690,Camisetas Filmes,Homens 18-24,Video 2,17074,1667,880.38,9.76,0.53,733,1.2,23667.16,26.88,2025-04-04,Sexta-feira,Homens,18-24
691,Acessorios,Homens 18-24,Imagem 3,18216,500,1437.63,2.74,2.88,266,5.4,8463.49,5.89,2025-04-28,Segunda-feira,Homens,18-24
692,Camisetas Series,Homens 18-24,Carrossel 1,14629,1162,828.7,7.94,0.71,188,4.41,11268.78,13.6,2025-03-30,Domingo,Homens,18-24
693,Blusas Inverno,Homens 18-24,Imagem 2,11875,728,573.16,6.13,0.79,223,2.57,26766.87,46.7,2025-04-12,Sábado,Homens,18-24
694,Acessorios,Mulheres 18-24,Carrossel 2,19393,1736,1140.59,8.95,0.66,1329,0.86,34395.01,30.16,2025-04-23,Quarta-feira,Mulheres,18-24
695,Camisetas Filmes,Homens 18-24,Imagem 3,15603,542,1361.52,3.47,2.51,249,5.47,30101.53,22.11,2025-04-21,Segunda-feira,Homens,18-24
696,Camisetas Filmes,Mulheres 18-24,Imagem 3,13496,282,609.52,2.09,2.16,276,2.21,26881.73,44.1,2025-04-22,Terça-feira,Mulheres,18-24
697,Camisetas Filmes,Homens 24-30,Imagem 1,17936,1733,1167.22,9.66,0.67,1053,1.11,110861.6,94.98,2025-04-27,Domingo,Homens,24-30
698,Camisetas Series,Homens 18-24,Carrossel 2,16951,139,479.83,0.82,3.45,49,9.79,2794.53,5.82,2025-04-11,Sexta-feira,Homens,18-24
699,Camisetas Series,Homens 24-30,Video 1,4144,135,1458.86,3.26,10.81,1,1458.86,87.69,0.06,2025-04-22,Terça-feira,Homens,24-30
700,Camisetas Filmes,Homens 18-24,Imagem 2,7985,751,665.1,9.41,0.89,106,6.27,4829.14,7.26,2025-04-11,Sexta-feira,Homens,18-24
701,Camisetas Filmes,Homens 24-30,Video 3,3363,128,84.44,3.81,0.66,84,1.01,2418.25,28.64,2025-04-01,Terça-feira,Homens,24-30
702,Camisetas Series,Mulheres 18-24,Video 1,2778,95,1201.61,3.42,12.65,71,16.92,2275.14,1.89,2025-04-28,Segunda-feira,Mulheres,18-24
703,Blusas Inverno,Homens 24-30,Imagem 2,9475,467,612.65,4.93,1.31,322,1.9,21073.23,34.4,2025-04-19,Sábado,Homens,24-30
704,Camisetas Series,Mulheres 24-30,Imagem 3,1553,99,1026.28,6.37,10.37,68,15.09,1740.11,1.7,2025-04-11,Sexta-feira,Mulheres,24-30
705,Camisetas Filmes,Homens 18-24,Video 1,2491,229,1279.96,9.19,5.59,91,14.07,10720.23,8.38,2025-04-06,Domingo,Homens,18-24
706,Camisetas Filmes,Homens 18-24,Video 1,10497,855,1044.52,8.15,1.22,621,1.68,20896.97,20.01,2025-04-04,Sexta-feira,Homens,18-24
707,Camisetas Series,Mulheres 24-30,Carrossel 2,13498,859,1242.08,6.36,1.45,31,40.07,2244.36,1.81,2025-04-12,Sábado,Mulheres,24-30
708,Camisetas Filmes,Homens 18-24,Imagem 2,5468,432,616.94,7.9,1.43,408,1.51,44858.27,72.71,2025-04-24,Quinta-feira,Homens,18-24
709,Camisetas Series,Mulheres 24-30,Video 2,5721,355,1032.07,6.21,2.91,331,3.12,20625.62,19.98,2025-03-30,Domingo,Mulheres,24-30
710,Camisetas Filmes,Mulheres 18-24,Imagem 1,19137,1841,854.85,9.62,0.46,252,3.39,7352.68,8.6,2025-04-01,Terça-feira,Mulheres,18-24
711,Camisetas Filmes,Homens 18-24,Video 3,18601,1171,1423.12,6.3,1.22,624,2.28,28707.3,20.17,2025-04-02,Quarta-feira,Homens,18-24
712,Acessorios,Mulheres 24-30,Imagem 3,7938,472,1363.16,5.95,2.89,435,3.13,33171.04,24.33,2025-04-09,Quarta-feira,Mulheres,24-30
713,Camisetas Filmes,Mulheres 24-30,Carrossel 1,7029,276,944.48,3.93,3.42,129,7.32,5731.81,6.07,2025-04-11,Sexta-feira,Mulheres,24-30
714,Camisetas Series,Mulheres 24-30,Carrossel 1,19589,1795,128.86,9.16,0.07,1538,0.08,181848.49,1411.21,2025-03-30,Domingo,Mulheres,24-30
715,Camisetas Series,Mulheres 18-24,Carrossel 2,19011,199,471.45,1.05,2.37,17,27.73,851.17,1.81,2025-04-03,Quinta-feira,Mulheres,18-24
716,Camisetas Series,Mulheres 18-24,Imagem 2,16964,727,567.85,4.29,0.78,687,0.83,62205.99,109.55,2025-04-16,Quarta-feira,Mulheres,18-24
717,Camisetas Filmes,Homens 18-24,Video 1,10343,684,151.22,6.61,0.22,198,0.76,11242.16,74.34,2025-04-06,Domingo,Homens,18-24
718,Camisetas Filmes,Homens 24-30,Carrossel 2,11759,676,1055.51,5.75,1.56,156,6.77,12722.61,12.05,2025-04-05,Sábado,Homens,24-30
719,Camisetas Filmes,Mulheres 18-24,Imagem 3,11365,927,294.53,8.16,0.32,320,0.92,15877.6,53.91,2025-04-10,Quinta-feira,Mulheres,18-24
720,Acessorios,Homens 18-24,Imagem 2,15290,616,1268.16,4.03,2.06,137,9.26,12735.25,10.04,2025-04-16,Quarta-feira,Homens,18-24
721,Camisetas Series,Mulheres 18-24,Imagem 3,16727,997,695.77,5.96,0.7,793,0.88,44048.91,63.31,2025-04-11,Sexta-feira,Mulheres,18-24
722,Blusas Inverno,Homens 18-24,Video 1,6759,671,168.86,9.93,0.25,287,0.59,31820.08,188.44,2025-04-27,Domingo,Homens,18-24
723,Camisetas Series,Homens 24-30,Carrossel 1,18649,452,431.69,2.42,0.96,320,1.35,10446.8,24.2,2025-04-12,Sábado,Homens,24-30
724,Acessorios,Mulheres 18-24,Video 1,1610,158,785.41,9.81,4.97,7,112.2,743.85,0.95,2025-04-28,Segunda-feira,Mulheres,18-24
725,Camisetas Series,Mulheres 18-24,Video 3,7971,87,849.81,1.09,9.77,69,12.32,7893.5,9.29,2025-04-27,Domingo,Mulheres,18-24
726,Blusas Inverno,Mulheres 18-24,Carrossel 2,5870,424,619.12,7.22,1.46,395,1.57,33164.23,53.57,2025-04-14,Segunda-feira,Mulheres,18-24
727,Camisetas Filmes,Mulheres 24-30,Video 2,5387,287,776.63,5.33,2.71,46,16.88,2975.21,3.83,2025-04-08,Terça-feira,Mulheres,24-30
728,Camisetas Series,Mulheres 18-24,Imagem 1,8827,875,1473.69,9.91,1.68,700,2.11,29109.05,19.75,2025-04-20,Domingo,Mulheres,18-24
729,Camisetas Filmes,Mulheres 18-24,Carrossel 1,15621,376,309.76,2.41,0.82,289,1.07,26282.04,84.85,2025-04-26,Sábado,Mulheres,18-24
730,Camisetas Filmes,Mulheres 18-24,Carrossel 1,16843,784,108.61,4.65,0.14,779,0.14,57462.32,529.07,2025-04-24,Quinta-feira,Mulheres,18-24
731,Camisetas Filmes,Mulheres 18-24,Video 1,9662,428,389.33,4.43,0.91,342,1.14,15621.67,40.12,2025-04-02,Quarta-feira,Mulheres,18-24
732,Acessorios,Homens 18-24,Imagem 3,13717,1011,1380.96,7.37,1.37,902,1.53,26738.66,19.36,2025-04-11,Sexta-feira,Homens,18-24
733,Acessorios,Mulheres 18-24,Imagem 3,4382,410,1454.24,9.36,3.55,324,4.49,34980.57,24.05,2025-04-25,Sexta-feira,Mulheres,18-24
734,Blusas Inverno,Homens 24-30,Video 2,19960,1164,876.73,5.83,0.75,771,1.14,69673.37,79.47,2025-04-07,Segunda-feira,Homens,24-30
735,Camisetas Series,Homens 24-30,Imagem 3,3550,314,414.8,8.85,1.32,114,3.64,8736.64,21.06,2025-04-19,Sábado,Homens,24-30
736,Blusas Inverno,Mulheres 18-24,Imagem 3,12306,1047,1199.35,8.51,1.15,13,92.26,977.39,0.81,2025-04-16,Quarta-feira,Mulheres,18-24
737,Camisetas Filmes,Mulheres 18-24,Carrossel 1,15414,389,383.49,2.52,0.99,263,1.46,23498.45,61.28,2025-04-09,Quarta-feira,Mulheres,18-24
738,Blusas Inverno,Homens 24-30,Imagem 2,5923,241,278.17,4.07,1.15,154,1.81,14896.46,53.55,2025-04-14,Segunda-feira,Homens,24-30
739,Blusas Inverno,Mulheres 18-24,Video 1,8547,474,1226.2,5.55,2.59,368,3.33,13370.86,10.9,2025-04-14,Segunda-feira,Mulheres,18-24
740,Blusas Inverno,Homens 18-24,Carrossel 2,16696,481,906.65,2.88,1.88,331,2.74,35859.38,39.55,2025-04-07,Segunda-feira,Homens,18-24
741,Camisetas Series,Homens 18-24,Imagem 1,8984,94,235.43,1.05,2.5,75,3.14,3083.47,13.1,2025-04-23,Quarta-feira,Homens,18-24
742,Camisetas Filmes,Homens 18-24,Imagem 1,19752,350,131.07,1.77,0.37,132,0.99,15476.3,118.08,2025-04-07,Segunda-feira,Homens,18-24
743,Camisetas Filmes,Mulheres 18-24,Video 3,19468,1355,77.0,6.96,0.06,1355,0.06,145161.6,1885.22,2025-04-12,Sábado,Mulheres,18-24
744,Camisetas Filmes,Mulheres 18-24,Video 1,8097,509,929.46,6.29,1.83,241,3.86,26926.99,28.97,2025-04-22,Terça-feira,Mulheres,18-24
745,Camisetas Filmes,Homens 18-24,Carrossel 1,8188,470,921.22,5.74,1.96,406,2.27,33805.43,36.7,2025-04-09,Quarta-feira,Homens,18-24
746,Camisetas Filmes,Homens 18-24,Carrossel 1,17738,591,293.2,3.33,0.5,350,0.84,41032.32,139.95,2025-04-21,Segunda-feira,Homens,18-24
747,Camisetas Series,Mulheres 18-24,Video 1,8530,437,608.92,5.12,1.39,55,11.07,1466.09,2.41,2025-04-09,Quarta-feira,Mulheres,18-24
748,Camisetas Series,Mulheres 18-24,Video 3,5900,148,307.26,2.51,2.08,9,34.14,1014.98,3.3,2025-04-21,Segunda-feira,Mulheres,18-24
749,Camisetas Filmes,Mulheres 24-30,Video 1,4053,296,1006.12,7.3,3.4,276,3.65,29739.6,29.56,2025-04-10,Quinta-feira,Mulheres,24-30
750,Camisetas Series,Mulheres 18-24,Video 3,18106,911,587.05,5.03,0.64,44,13.34,4169.63,7.1,2025-04-23,Quarta-feira,Mulheres,18-24
751,Camisetas Filmes,Homens 18-24,Video 3,8519,543,1194.86,6.37,2.2,390,3.06,23420.19,19.6,2025-04-25,Sexta-feira,Homens,18-24
752,Camisetas Filmes,Homens 18-24,Video 1,14942,324,419.05,2.17,1.29,119,3.52,13805.02,32.94,2025-04-15,Terça-feira,Homens,18-24
753,Camisetas Series,Mulheres 18-24,Video 1,10282,662,1321.31,6.44,2.0,418,3.16,21226.25,16.06,2025-04-17,Quinta-feira,Mulheres,18-24
754,Camisetas Series,Homens 24-30,Imagem 1,1233,123,807.68,9.98,6.57,66,12.24,1697.48,2.1,2025-04-08,Terça-feira,Homens,24-30
755,Blusas Inverno,Homens 24-30,Imagem 2,11351,887,575.29,7.81,0.65,158,3.64,10681.93,18.57,2025-04-06,Domingo,Homens,24-30
756,Acessorios,Homens 18-24,Video 2,9562,925,827.35,9.67,0.89,578,1.43,35584.23,43.01,2025-04-24,Quinta-feira,Homens,18-24
757,Camisetas Filmes,Homens 18-24,Video 2,14023,467,649.18,3.33,1.39,401,1.62,32383.26,49.88,2025-04-13,Domingo,Homens,18-24
758,Camisetas Series,Mulheres 24-30,Carrossel 1,13131,1195,854.62,9.1,0.72,519,1.65,64278.58,75.21,2025-04-17,Quinta-feira,Mulheres,24-30
759,Camisetas Filmes,Mulheres 24-30,Imagem 3,14045,332,1289.75,2.36,3.88,60,21.5,5986.89,4.64,2025-04-25,Sexta-feira,Mulheres,24-30
760,Camisetas Filmes,Mulheres 24-30,Carrossel 2,6301,152,360.96,2.41,2.37,102,3.54,10568.03,29.28,2025-04-17,Quinta-feira,Mulheres,24-30
761,Camisetas Filmes,Homens 18-24,Imagem 1,6267,448,1448.63,7.15,3.23,2,724.32,210.87,0.15,2025-04-12,Sábado,Homens,18-24
762,Camisetas Series,Homens 18-24,Carrossel 1,16455,1279,681.3,7.77,0.53,131,5.2,6721.51,9.87,2025-04-09,Quarta-feira,Homens,18-24
763,Camisetas Filmes,Homens 18-24,Imagem 3,3622,361,104.75,9.97,0.29,196,0.53,23141.43,220.92,2025-04-01,Terça-feira,Homens,18-24
764,Blusas Inverno,Mulheres 18-24,Video 3,18072,636,1081.83,3.52,1.7,611,1.77,18785.99,17.37,2025-04-11,Sexta-feira,Mulheres,18-24
765,Camisetas Filmes,Mulheres 18-24,Carrossel 1,17199,949,65.53,5.52,0.07,870,0.08,78898.93,1204.01,2025-04-27,Domingo,Mulheres,18-24
766,Blusas Inverno,Homens 18-24,Video 2,7381,84,1186.74,1.14,14.13,65,18.26,4977.79,4.19,2025-04-06,Domingo,Homens,18-24
767,Camisetas Series,Homens 18-24,Imagem 2,6553,86,571.62,1.31,6.65,83,6.89,2077.38,3.63,2025-04-21,Segunda-feira,Homens,18-24
768,Camisetas Filmes,Mulheres 18-24,Carrossel 1,3845,191,1180.53,4.97,6.18,90,13.12,8276.96,7.01,2025-04-02,Quarta-feira,Mulheres,18-24
769,Camisetas Filmes,Mulheres 18-24,Video 3,7563,580,72.28,7.67,0.12,70,1.03,8184.24,113.23,2025-03-30,Domingo,Mulheres,18-24
770,Blusas Inverno,Homens 18-24,Video 2,19321,1923,895.25,9.95,0.47,711,1.26,86264.75,96.36,2025-04-06,Domingo,Homens,18-24
771,Camisetas Series,Homens 18-24,Video 2,8415,670,1446.43,7.96,2.16,465,3.11,54856.69,37.93,2025-04-05,Sábado,Homens,18-24
772,Acessorios,Mulheres 18-24,Imagem 1,9555,229,640.35,2.4,2.8,27,23.72,2183.3,3.41,2025-04-09,Quarta-feira,Mulheres,18-24
773,Blusas Inverno,Mulheres 18-24,Video 2,12140,289,1214.27,2.38,4.2,131,9.27,14752.08,12.15,2025-03-30,Domingo,Mulheres,18-24
774,Camisetas Filmes,Mulheres 18-24,Video 2,15508,822,866.59,5.3,1.05,788,1.1,38869.93,44.85,2025-03-30,Domingo,Mulheres,18-24
775,Acessorios,Mulheres 18-24,Imagem 3,16035,1445,718.04,9.01,0.5,1201,0.6,133554.0,186.0,2025-03-30,Domingo,Mulheres,18-24
776,Blusas Inverno,Mulheres 24-30,Carrossel 2,4809,182,147.95,3.78,0.81,162,0.91,16826.23,113.73,2025-04-05,Sábado,Mulheres,24-30
777,Camisetas Filmes,Homens 18-24,Imagem 2,8534,373,648.02,4.37,1.74,180,3.6,13797.08,21.29,2025-04-18,Sexta-feira,Homens,18-24
778,Camisetas Series,Mulheres 18-24,Imagem 1,9629,304,466.57,3.16,1.53,204,2.29,18843.44,40.39,2025-04-20,Domingo,Mulheres,18-24
779,Blusas Inverno,Mulheres 24-30,Imagem 3,3491,333,1400.52,9.54,4.21,243,5.76,13702.11,9.78,2025-03-30,Domingo,Mulheres,24-30
780,Camisetas Filmes,Homens 18-24,Imagem 2,19799,601,315.04,3.04,0.52,194,1.62,14530.59,46.12,2025-04-03,Quinta-feira,Homens,18-24
781,Blusas Inverno,Homens 18-24,Imagem 2,8695,803,400.98,9.24,0.5,271,1.48,12378.7,30.87,2025-04-06,Domingo,Homens,18-24
782,Blusas Inverno,Mulheres 18-24,Imagem 2,9182,906,946.97,9.87,1.05,159,5.96,16360.12,17.28,2025-04-24,Quinta-feira,Mulheres,18-24
783,Camisetas Series,Homens 18-24,Video 1,3571,302,940.05,8.46,3.11,277,3.39,33461.41,35.6,2025-04-13,Domingo,Homens,18-24
784,Camisetas Series,Mulheres 18-24,Carrossel 2,13163,695,763.89,5.28,1.1,588,1.3,65783.61,86.12,2025-04-24,Quinta-feira,Mulheres,18-24
785,Camisetas Series,Homens 18-24,Carrossel 2,6992,573,456.39,8.2,0.8,227,2.01,22703.85,49.75,2025-04-18,Sexta-feira,Homens,18-24
786,Blusas Inverno,Mulheres 24-30,Carrossel 1,2774,184,1208.94,6.63,6.57,122,9.91,14513.78,12.01,2025-04-24,Quinta-feira,Mulheres,24-30
787,Camisetas Filmes,Homens 18-24,Imagem 1,17465,761,620.89,4.36,0.82,702,0.88,72018.46,115.99,2025-03-31,Segunda-feira,Homens,18-24
788,Camisetas Filmes,Mulheres 18-24,Carrossel 2,4944,407,801.4,8.23,1.97,161,4.98,15121.29,18.87,2025-04-23,Quarta-feira,Mulheres,18-24
789,Camisetas Series,Mulheres 18-24,Imagem 1,7905,438,892.46,5.54,2.04,166,5.38,10152.6,11.38,2025-04-07,Segunda-feira,Mulheres,18-24
790,Camisetas Filmes,Homens 18-24,Video 2,7132,611,431.13,8.57,0.71,275,1.57,19837.0,46.01,2025-04-26,Sábado,Homens,18-24
791,Camisetas Series,Mulheres 18-24,Imagem 3,12990,426,773.22,3.28,1.82,107,7.23,7159.29,9.26,2025-04-24,Quinta-feira,Mulheres,18-24
792,Acessorios,Homens 18-24,Imagem 3,12962,870,455.46,6.71,0.52,184,2.48,15113.94,33.18,2025-04-25,Sexta-feira,Homens,18-24
793,Camisetas Series,Mulheres 18-24,Imagem 2,4272,419,441.43,9.81,1.05,120,3.68,9664.08,21.89,2025-04-02,Quarta-feira,Mulheres,18-24
794,Camisetas Series,Homens 24-30,Video 3,7424,199,1210.05,2.68,6.08,189,6.4,7551.46,6.24,2025-04-06,Domingo,Homens,24-30
795,Camisetas Series,Mulheres 24-30,Imagem 1,6787,481,774.42,7.09,1.61,457,1.69,50242.12,64.88,2025-03-31,Segunda-feira,Mulheres,24-30
796,Camisetas Filmes,Homens 18-24,Imagem 3,16945,664,413.91,3.92,0.62,581,0.71,17296.91,41.79,2025-04-07,Segunda-feira,Homens,18-24
797,Blusas Inverno,Mulheres 18-24,Video 1,6352,111,362.43,1.75,3.27,32,11.33,2324.93,6.41,2025-04-19,Sábado,Mulheres,18-24
798,Camisetas Filmes,Homens 18-24,Video 1,15740,1574,535.25,10.0,0.34,739,0.72,45101.66,84.26,2025-04-23,Quarta-feira,Homens,18-24
799,Camisetas Filmes,Mulheres 24-30,Video 2,12276,90,647.05,0.73,7.19,44,14.71,4916.42,7.6,2025-04-18,Sexta-feira,Mulheres,24-30
800,Camisetas Filmes,Homens 18-24,Imagem 2,19902,1229,992.3,6.18,0.81,1102,0.9,46784.18,47.15,2025-04-14,Segunda-feira,Homens,18-24
801,Camisetas Filmes,Homens 18-24,Video 2,12636,715,1026.13,5.66,1.44,499,2.06,51134.74,49.83,2025-04-24,Quinta-feira,Homens,18-24
802,Camisetas Filmes,Mulheres 18-24,Carrossel 2,3569,245,939.81,6.86,3.84,118,7.96,10404.2,11.07,2025-04-09,Quarta-feira,Mulheres,18-24
803,Camisetas Filmes,Homens 24-30,Carrossel 1,6491,395,661.63,6.09,1.68,313,2.11,25717.26,38.87,2025-04-15,Terça-feira,Homens,24-30
804,Camisetas Filmes,Mulheres 18-24,Video 1,3592,132,548.26,3.67,4.15,80,6.85,4535.03,8.27,2025-04-20,Domingo,Mulheres,18-24
805,Blusas Inverno,Mulheres 18-24,Video 2,9764,669,984.73,6.85,1.47,277,3.55,31514.06,32.0,2025-04-25,Sexta-feira,Mulheres,18-24
806,Camisetas Series,Homens 18-24,Imagem 3,18070,972,650.28,5.38,0.67,188,3.46,20759.18,31.92,2025-04-25,Sexta-feira,Homens,18-24
807,Camisetas Filmes,Mulheres 18-24,Carrossel 1,8688,727,414.89,8.37,0.57,717,0.58,71681.34,172.77,2025-04-03,Quinta-feira,Mulheres,18-24
808,Acessorios,Mulheres 18-24,Imagem 2,6469,456,199.36,7.05,0.44,32,6.23,3797.74,19.05,2025-04-16,Quarta-feira,Mulheres,18-24
809,Camisetas Series,Homens 24-30,Carrossel 2,18971,160,88.23,0.84,0.55,101,0.87,7817.23,88.6,2025-04-07,Segunda-feira,Homens,24-30
810,Camisetas Series,Homens 18-24,Video 1,4405,184,946.25,4.18,5.14,21,45.06,1900.15,2.01,2025-04-17,Quinta-feira,Homens,18-24
811,Camisetas Series,Mulheres 24-30,Video 3,11137,519,408.72,4.66,0.79,290,1.41,20101.65,49.18,2025-04-28,Segunda-feira,Mulheres,24-30
812,Camisetas Filmes,Mulheres 18-24,Carrossel 1,5301,319,1265.85,6.02,3.97,14,90.42,399.22,0.32,2025-04-05,Sábado,Mulheres,18-24
813,Camisetas Filmes,Mulheres 18-24,Imagem 3,11656,1025,727.43,8.79,0.71,557,1.31,44478.97,61.15,2025-04-23,Quarta-feira,Mulheres,18-24
814,Camisetas Filmes,Mulheres 18-24,Carrossel 1,18671,412,906.7,2.21,2.2,233,3.89,20528.41,22.64,2025-04-20,Domingo,Mulheres,18-24
815,Blusas Inverno,Homens 18-24,Video 3,18152,1360,977.32,7.49,0.72,634,1.54,73475.73,75.18,2025-03-31,Segunda-feira,Homens,18-24
816,Camisetas Series,Homens 24-30,Carrossel 2,18683,515,1216.83,2.76,2.36,452,2.69,25215.64,20.72,2025-04-19,Sábado,Homens,24-30
817,Acessorios,Homens 18-24,Video 3,9513,209,490.18,2.2,2.35,0,0.0,0.0,0.0,2025-03-30,Domingo,Homens,18-24
818,Camisetas Filmes,Homens 18-24,Carrossel 1,12268,637,730.34,5.19,1.15,8,91.29,750.22,1.03,2025-03-31,Segunda-feira,Homens,18-24
819,Acessorios,Mulheres 24-30,Carrossel 2,16632,663,63.24,3.99,0.1,440,0.14,46110.45,729.13,2025-04-06,Domingo,Mulheres,24-30
820,Camisetas Series,Homens 24-30,Imagem 2,1236,120,591.78,9.71,4.93,52,11.38,5887.24,9.95,2025-04-04,Sexta-feira,Homens,24-30
821,Camisetas Series,Mulheres 18-24,Video 3,13935,561,286.74,4.03,0.51,399,0.72,43029.23,150.06,2025-04-12,Sábado,Mulheres,18-24
822,Camisetas Filmes,Homens 24-30,Imagem 2,9617,131,662.25,1.36,5.06,61,10.86,4676.32,7.06,2025-04-11,Sexta-feira,Homens,24-30
823,Camisetas Filmes,Homens 24-30,Video 2,10328,714,1127.24,6.91,1.58,275,4.1,18229.86,16.17,2025-04-05,Sábado,Homens,24-30
824,Blusas Inverno,Homens 24-30,Video 1,6977,189,469.91,2.71,2.49,163,2.88,11497.09,24.47,2025-04-08,Terça-feira,Homens,24-30
825,Camisetas Filmes,Homens 18-24,Carrossel 2,9917,767,952.99,7.73,1.24,192,4.96,10956.36,11.5,2025-04-07,Segunda-feira,Homens,18-24
826,Camisetas Filmes,Homens 18-24,Carrossel 1,2626,186,82.09,7.08,0.44,26,3.16,1383.5,16.85,2025-04-20,Domingo,Homens,18-24
827,Camisetas Filmes,Mulheres 24-30,Carrossel 1,15366,66,387.58,0.43,5.87,19,20.4,502.98,1.3,2025-04-20,Domingo,Mulheres,24-30
828,Camisetas Series,Homens 18-24,Imagem 2,12203,910,501.79,7.46,0.55,818,0.61,61218.77,122.0,2025-04-24,Quinta-feira,Homens,18-24
829,Camisetas Filmes,Mulheres 18-24,Imagem 3,16194,1477,1197.57,9.12,0.81,676,1.77,22323.08,18.64,2025-04-04,Sexta-feira,Mulheres,18-24
830,Camisetas Series,Mulheres 18-24,Carrossel 1,2836,118,1174.7,4.16,9.96,9,130.52,713.87,0.61,2025-04-18,Sexta-feira,Mulheres,18-24
831,Acessorios,Mulheres 18-24,Carrossel 1,7297,306,1235.01,4.19,4.04,6,205.84,223.18,0.18,2025-04-15,Terça-feira,Mulheres,18-24
832,Acessorios,Mulheres 24-30,Imagem 2,13609,957,408.39,7.03,0.43,34,12.01,1527.21,3.74,2025-04-13,Domingo,Mulheres,24-30
833,Camisetas Filmes,Mulheres 24-30,Video 1,18076,1413,1474.07,7.82,1.04,968,1.52,61867.1,41.97,2025-04-23,Quarta-feira,Mulheres,24-30
834,Camisetas Filmes,Homens 24-30,Video 2,11586,374,962.29,3.23,2.57,21,45.82,2088.92,2.17,2025-04-01,Terça-feira,Homens,24-30
835,Camisetas Filmes,Mulheres 24-30,Video 1,9300,542,975.85,5.83,1.8,203,4.81,12391.66,12.7,2025-04-17,Quinta-feira,Mulheres,24-30
836,Blusas Inverno,Homens 24-30,Imagem 1,8136,165,392.15,2.03,2.38,111,3.53,6377.1,16.26,2025-04-27,Domingo,Homens,24-30
837,Blusas Inverno,Homens 18-24,Carrossel 1,10047,648,223.49,6.45,0.34,248,0.9,6421.46,28.73,2025-04-22,Terça-feira,Homens,18-24
838,Camisetas Filmes,Mulheres 18-24,Imagem 1,16573,1459,914.51,8.8,0.63,760,1.2,77580.57,84.83,2025-03-31,Segunda-feira,Mulheres,18-24
839,Camisetas Filmes,Mulheres 18-24,Imagem 2,6167,561,182.53,9.1,0.33,346,0.53,40857.37,223.84,2025-04-28,Segunda-feira,Mulheres,18-24
840,Camisetas Filmes,Mulheres 24-30,Imagem 1,2958,141,984.63,4.77,6.98,137,7.19,14268.09,14.49,2025-04-15,Terça-feira,Mulheres,24-30
841,Camisetas Series,Homens 24-30,Carrossel 1,16985,526,509.27,3.1,0.97,355,1.43,37471.15,73.58,2025-04-08,Terça-feira,Homens,24-30
842,Camisetas Filmes,Mulheres 24-30,Carrossel 2,7323,71,1049.41,0.97,14.78,45,23.32,4384.8,4.18,2025-04-16,Quarta-feira,Mulheres,24-30
843,Acessorios,Mulheres 18-24,Video 2,2293,174,1074.61,7.59,6.18,143,7.51,7789.42,7.25,2025-03-31,Segunda-feira,Mulheres,18-24
844,Camisetas Series,Homens 24-30,Carrossel 2,7218,630,320.61,8.73,0.51,356,0.9,20423.04,63.7,2025-04-13,Domingo,Homens,24-30
845,Camisetas Filmes,Mulheres 18-24,Carrossel 2,10021,938,1255.46,9.36,1.34,936,1.34,103948.5,82.8,2025-04-22,Terça-feira,Mulheres,18-24
846,Camisetas Filmes,Homens 18-24,Carrossel 1,3256,321,274.79,9.86,0.86,151,1.82,16148.22,58.77,2025-04-24,Quinta-feira,Homens,18-24
847,Camisetas Filmes,Homens 18-24,Imagem 3,15879,51,1175.08,0.32,23.04,32,36.72,2012.94,1.71,2025-04-26,Sábado,Homens,18-24
